Tims,Data,Scores,Labels
0,73.0941,,
1,72.765,,
2,72.2117,,
3,71.3844,,
4,71.9822,,
5,74.7447,0.7619197643500538,0
6,74.4275,,
7,73.9332,,
8,73.4336,,
9,72.7034,,
10,73.5556,-1.9670826643121735,-1
11,72.5211,,
12,70.9281,,
13,71.3149,,
14,70.8046,,
15,71.2533,1.7333634677330998,1
16,70.3432,,
17,69.874,,
18,70.2398,,
19,71.6374,,
20,73.0757,0.8776180520678714,0
21,72.668,,
22,70.8875,,
23,71.9888,,
24,72.3087,,
25,72.921,-2.7548061513923536,-1
26,71.5955,,
27,72.1763,,
28,66.4074,,
29,65.6535,,
30,65.5266,3.602354427259228,2
31,65.6339,,
32,65.7558,,
33,66.7077,,
34,67.2059,,
35,67.5976,2.7202794877224767,1
36,68.5433,,
37,69.7712,,
38,70.6906,,
39,70.6853,,
40,71.8077,-1.182190119466057,-1
41,71.7497,,
42,72.0135,,
43,70.8765,,
44,70.0561,,
45,69.278,-0.7295548063781754,0
46,69.5813,,
47,68.8572,,
48,68.236,,
49,69.5971,,
50,69.4085,1.3237838310765788,1
51,69.609,,
52,70.068,,
53,70.2157,,
54,70.0034,,
55,69.9625,-0.03620921956734233,0
56,70.0258,,
57,70.7077,,
58,70.7763,,
59,69.9902,,
60,69.2041,-0.7120737821911924,0
61,69.4745,,
62,70.0891,,
63,70.0706,,
64,69.733,,
65,70.283,1.5621911021508654,1
66,71.1166,,
67,71.8816,,
68,71.1944,,
69,70.8884,,
70,70.8093,0.529995247062029,0
71,70.7934,,
72,71.441,,
73,71.5597,,
74,71.0638,,
75,70.1445,-2.616174504720729,-1
76,69.0432,,
77,69.0392,,
78,69.9467,,
79,69.0445,,
80,68.5341,0.7326971721175366,0
81,68.8071,,
82,68.3164,,
83,68.4549,,
84,69.2371,,
85,70.0588,2.976561480873694,1
86,70.1286,,
87,69.212,,
88,74.8861,,
89,75.4361,,
90,78.3576,2.6109879384778143,1
91,78.1255,,
92,77.83,,
93,78.0134,,
94,78.1585,,
95,79.2637,-1.6086335174239266,-1
96,78.3998,,
97,78.1255,,
98,77.6146,,
99,77.2915,,
100,78.2535,3.6844128904691464,2
101,78.3763,,
102,78.3908,,
103,77.7242,,
104,78.8713,,
105,79.8058,4.892629497517388,2
106,79.8217,,
107,80.0329,,
108,80.1596,,
109,81.0651,,
110,82.5831,1.975428598803335,1
111,82.3692,,
112,83.8701,,
113,83.5559,,
114,82.9817,,
115,84.1552,4.008640576016916,2
116,85.1162,,
117,85.4501,,
118,85.2152,,
119,86.5788,,
120,87.087,-1.3352898970678178,-1
121,86.7266,,
122,85.2759,,
123,84.3427,,
124,85.1928,,
125,85.0819,-2.8237407154735683,-1
126,85.1743,,
127,84.8786,,
128,84.0008,,
129,83.9269,,
130,83.4187,3.460617935847774,2
131,83.4926,,
132,83.9916,,
133,84.9895,,
134,85.8673,,
135,86.4124,2.329674547179366,1
136,86.3755,,
137,86.8837,,
138,88.6744,,
139,88.1034,,
140,88.1403,-0.06072384703638863,0
141,87.8123,,
142,87.9832,,
143,89.1197,,
144,88.0756,,
145,87.5767,-0.7819800607391226,0
146,86.015,,
147,87.2533,,
148,86.7996,,
149,87.5212,,
150,89.8035,2.6964071725930965,1
151,89.6557,,
152,90.248,,
153,91.4944,,
154,90.9031,,
155,90.6905,-2.5895620690652823,-1
156,88.3344,,
157,88.8241,,
158,88.3251,,
159,87.8908,,
160,87.743,2.328450439497299,1
161,87.7337,,
162,87.9751,,
163,89.1358,,
164,89.1173,,
165,90.2966,4.473510982420026,2
166,90.538,,
167,90.9837,,
168,92.0795,,
169,93.3517,,
170,93.3888,0.8336610001535488,0
171,93.3981,,
172,94.0853,,
173,94.2895,,
174,93.685,,
175,94.8374,-2.5384545023306146,-1
176,94.9488,,
177,95.181,,
178,95.9239,,
179,91.8752,,
180,91.1138,5.014949147903745,2
181,91.9031,,
182,91.3366,,
183,90.993,,
184,93.7881,,
185,94.1874,1.7741910317947678,1
186,94.401,,
187,94.3731,,
188,93.6581,,
189,94.3267,,
190,94.5217,0.2818056515981315,0
191,93.751,,
192,93.8438,,
193,95.311,,
194,94.4845,,
195,90.8816,-1.94949408703585,-1
196,93.556,,
197,92.9617,,
198,93.556,,
199,92.0981,,
200,92.7667,4.017855456474912,2
201,92.5066,,
202,92.5066,,
203,91.6988,,
204,93.6024,,
205,93.8067,-3.8383677728069663,-2
206,93.5374,,
207,92.6831,,
208,91.6988,,
209,90.5752,,
210,89.3866,2.534691388142719,1
211,90.6959,,
212,92.6366,,
